ID_FORN,NOME,CNPJ,CONTATO,MARCA
1,FONDU,,,FONDU
2,SHINAGAWA,,,SHINAGAWA
3,TECNOFIRE,,,TECNOFIRE
4,CABOFRAX,,,CABOFRAX
5,IBAR,,,IBAR
6,BIOLÃ,,,BIOLÃ
7,SKAMOL ALUPORO,,,SKAMOL ALUPORO
8,MOSCONI AB70,,,MOSCONI AB70
9,MOSCONI AB 55,,,MOSCONI AB 55
10,IBAR SA ALUM,,,IBAR SA ALUM
11,TOGNI,,,TOGNI
12,MAGNESITA,,,MAGNESITA
13,ADVANCAL,,,ADVANCAL
14,IBAR AS 1,,,IBAR AS 1
15,CRD,,,CRD
16,PLCDB,,,PLCDB
17,ELKEN,,,ELKEN
18,CARBON,,,CARBON
19,TOKAY,,,TOKAY
20,SEC,,,SEC
21,ENERGOPROM,,,ENERGOPROM
22,ENGUSADOS,,,ENGUSADOS
23,CEMAÇO,,,CEMAÇO
24,ALUBASE,,,ALUBASE
25,MOSCONI,,,MOSCONI
26,BONY,,,BONY
